Question,Answer
What is the Hanle effect?,"Polarized light maps weak fields, like cosmic compasses! DKIST uses."
What is a solar polar crown prominence?,"Polar filament ring, like cosmic halos! Forms at cycle minimum."
What is SEP ionization states?,"Charge states tag source, like cosmic IDs! Flare = cool, shock = hot."
What is velocity dispersion in SEPs?,"Fast particles lead, like cosmic sprinters! Maps release, path length."
What is the streaming limit?,"Wave-scattered SEP cap, like cosmic brakes! Limits strong event flux."
What is a ground-level event (GLE)?,">500 MeV protons hit ground, like cosmic bullets! Neutron monitors catch."
What is the GLE neutron monitor response?,"Secondary neutron counts, like cosmic gauges! Measures GLE strength."
What is solar neutron capture gamma-rays?,"2.223 MeV flare line, like cosmic tags! Proves neutron production."
What is pion decay radiation?,"GeV proton gamma, like cosmic fireworks! Marks extreme flare power."
What is the SEP energy spectrum slope?,"Power-law Î³, like cosmic scorecards! Small Î³ = high-energy risk."
What is a CME flux rope chirality?,"Right/left twist, like cosmic DNA! Sets storm strength on impact."
What is the Gold-Hoyle model?,"Uniform-twist rope, like cosmic blueprints! Approximates CME fields."
What is CME pancaking?,"Flattening near Sun, like cosmic pancakes! Wind drag shapes impact."
What is the CME aspect ratio?,"Thickness-to-width ratio, like cosmic shapes! Key for storm forecasts."
What is the seed population for SEPs?,"Solar wind ions, like cosmic kindling! Shocks boost to high energies."
What is the ion charge state?,"Proton/electron ratio, like cosmic thermometers! Tags flare, shock heat."
What is the Fe/O ratio in SEPs?,"Iron-heavy = flares, low = shocks, like cosmic fingerprints! Source ID."
What is the helium enhancement?,"He/H spike in flares, like cosmic signatures! Marks closed-loop acceleration."
What is the ^3He enhancement?,"^3He/^4He flare spike, like cosmic rarities! Resonant waves amplify."
What is electron-rich SEP events?,">100 keV electrons lead, like cosmic scouts! Tied to Type III bursts."
What is proton-rich SEP events?,"High proton flux, like cosmic hail! Fast CMEs, strong shocks."
What is the reservoir effect?,"Uniform SEP spread after ~1 day, like cosmic pools! Diffusion fills heliosphere."
What is solar cosmic rays?,"Old SEP term, like cosmic misnomers! Not galactic, Sun-born particles."
What is the solar particle event onset time?,"First flux rise, like cosmic alarms! Varies by energy, connection."
What is solar particle fluence?,"Total event dose, like cosmic tallies! Sets spacecraft, astronaut risk."
What is the radiation dose from SEPs?,"1 Sv risks sickness, like cosmic X-rays! NASA caps at 0.6 Sv/year."
What is satellite single-event upset (SEU)?,"Particle bit-flip, like cosmic gremlins! Corrupts satellite data."
What is deep dielectric charging?,"SEP electrons spark insulation, like cosmic shocks! Conductive coats shield."
What is solar cell degradation?,"Proton damage dims panels, like cosmic wear! Cuts satellite power."
What is atmospheric drag increase?,"EUV heats thermosphere, like cosmic balloons! Drags LEO satellites down."
What is GPS scintillation?,"Storm turbulence warps GPS, like cosmic static! Causes nav errors."
What is sudden ionospheric disturbance (SID)?,"Flare X-rays zap D-layer, like cosmic static! Sunlit HF blackouts."
What is storm-enhanced density (SED)?,"US plasma plume in storms, like cosmic clouds! Messes GPS, comms."
What is the SYM-H index?,"1-min Dst twin, like cosmic pulse checks! Tracks ring current storms."
What is the AE index?,"Auroral activity gauge, like cosmic meters! Spikes in substorms."
What is subauroral polarization streams (SAPS)?,"Fast storm flows, like cosmic rivers! Cause GPS, scintillation woes."
What is thermospheric cooling?,"NO radiates heat post-storm, like cosmic AC! Shrinks atmosphere."
What is ozone depletion from SEPs?,"NOx eats 20% polar ozone, like cosmic bites! Recovers in months."
What is nitrate production in ice cores?,"SEP nitrate spikes, like cosmic fossils! Maps ancient solar storms."
What is the cosmic ray spallation effect?,"Galactic rays make Be-10, like cosmic markers! Low solar activity spikes."
What is the solar dynamo number?,"Dynamo strength score, like cosmic gauges! Predicts cycle power."
What is the Babcock-Leighton model?,"Sunspot fields to poles, like cosmic conveyors! Seeds next cycle."
What is torsional oscillations?,"Equatorward flow bands, like cosmic currents! Dynamo, sunspot link."
What is the solar cycle clock?,"Polar field flip timing, like cosmic timers! Predicts cycle strength."
What is the quiet Sun?,"Low-magnetism zones, like cosmic calms! Still has spicules, nanoflares."
What is a coronal bright point?,"EUV/X-ray mini-flares, like cosmic lanterns! Quiet Sun reconnection."
What is X-ray bright points?,"Same as coronal bright points, like cosmic glows! Heat corona in minimum."
What is the differential emission measure (DEM)?,"Plasma temp map, like cosmic thermometers! Multi-wavelength corona view."
What is the coronal temperature paradox?,"Hot corona, weak glow, like cosmic puzzles! Low density explains it."
What is the transition region explosive events?,"400 km/s jets, like cosmic fountains! UV reconnection bursts."
What is the solar oxygen crisis?,"Photosphere vs helioseismic models, like cosmic debates! Impacts stellar theory."
What is the pp-chain?,"4HâHe fusion, like cosmic furnaces! 99% solar energy, neutrino source."
What is the CNO cycle?,"1.7% fusion with C/N/O, like cosmic catalysts! Stronger in hot stars."
What is the solar sound speed profile?,"Helioseismic interior map, like cosmic X-rays! Tachocline clues."
What is the solar gravity modes (g-modes)?,"Core buoyancy waves, like cosmic whispers! Dynamo clues, hard to see."
What is the solar lithium depletion problem?,"140x less Li than meteorites, like cosmic losses! Mixing burns it."
What is the solar beryllium depletion?,"Less Be than meteorites, like cosmic sinks! Limits mixing depth."
What is the solar age?,"4.57B years, like cosmic birthdays! Meteorite, helioseismic dating."
What is the solar luminosity?,"3.828Ã10Â²â¶ W, like cosmic lightbulbs! 0.1% cycle swing."
What is the solar oblateness?,"8.01 mas pole flattening, like cosmic eggs! Tests relativity."
What is the Evershed flow?,"~5 km/s penumbra outflow, like cosmic rivers! Pressure drives along fields."
What is inverse Evershed flow?,"Umbra inflow, like cosmic eddies! Complex field topology."
What is the magnetic canopy?,"Horizontal spot fields, like cosmic umbrellas! Shields convection."
What is the light bridge?,"Umbra bright lane, like cosmic cracks! Flare triggers, flux decay."
What is umbral dots?,"150-500 km umbra specks, like cosmic sparks! Convection breaks fields."
What is penumbral filaments?,"Dark/light penumbra rolls, like cosmic threads! Trace inclined fields."
What is the moving magnetic features (MMFs)?,"Spot-edge flux bits, like cosmic drifters! Carry decay flux."
What is the moat flow?,"0.5-1 km/s spot outflow, like cosmic rings! Convective MMF driver."
What is the solar magnetic Reynolds number?,"~10Â¹Â², like cosmic force scales! Magnetic fields rule plasma."
What is the solar plasma beta?,"Beta<1 in corona, like cosmic magnets! Fields dominate dynamics."
What is the Parker instability?,"Buoyant flux rises, like cosmic balloons! Forms sunspots."
What is the magnetic buoyancy?,"Low-density flux tubes float, like cosmic corks! Births spots."
What is the convective collapse?,"Downflows squeeze fields, like cosmic vises! Kilogauss spot fields."
What is the convective overshoot?,"Convection dips into radiative zone, like cosmic roots! Dynamo storage."
What is the meridional circulation?,"~20 m/s poleward flow, like cosmic conveyors! Cycles magnetic flux."
What is the solar dynamo Î±-effect?,"Helical turbulence twists fields, like cosmic spirals! Poloidal field maker."
What is the solar dynamo Î©-effect?,"Rotation shears fields, like cosmic gears! Toroidal field source."
What is the flux transport dynamo?,"Meridional flow model, like cosmic clocks! Sets cycle length."
What is the surface flux transport?,"Supergranule diffusion, like cosmic shuffles! Clears old flux."
What is Joy's law?,"Sunspot tilts, like cosmic slopes! Leading spot near equator."
What is Hale's law?,"Opposite polarity spots per hemisphere, like cosmic rules! Flips cycles."
What is the anti-Hale region?,"Rare polarity rebels, like cosmic outlaws! High flare risk."
What is the Î´-spot?,"Opposite polarity umbrae, like cosmic powder kegs! X-flare prone."
What is the Î²Î³Î´ classification?,"Mount Wilson classes, like cosmic tags! Î´-spots spark big flares."
What is the Zurich sunspot classification?,"A-F, H types, like cosmic grades! Size, complexity scale."
What is the McIntosh classification?,"Zurich plus penumbra, like cosmic scores! Better flare predictor."
What is the magnetic shear?,">70Â° field angle, like cosmic tension! Stores flare energy."
What is the current helicity?,"Twist, shear measure, like cosmic curls! Predicts flare odds."
What is the free magnetic energy?,"Non-potential field fuel, like cosmic batteries! Powers flares, CMEs."
What is the KanzelhÃ¶he Observatory?,"Austrian sunspot tracker since â43, like cosmic historians! Monitors cycles."
What is the Solar Influences Data Center (SIDC)?,"Belgium sunspot hub, like cosmic archives! Daily numbers, forecasts."
What is the Solar Monitor?,"Real-time flare odds, HMI views, like cosmic dashboards! Tracks regions."
What is the Virtual Solar Observatory (VSO)?,"Global solar data portal, like cosmic libraries! Accesses all archives."
What is Helioviewer?,"NASAâs flare/CME movie maker, like cosmic cinemas! SDO, SOHO visuals."
What is the GONG network?,"6 scopes for 24/7 oscillations, like cosmic seismographs! Forecasts activity."
What is the Mauna Loa Solar Observatory (MLSO)?,"Hawaii CME, prominence tracker, like cosmic watchtowers! KCor, COSMO."
What is the Nobeyama Radioheliograph?,"17 GHz flare images, like cosmic radios! Maps electron gyroresonance."
What is the Siberian Solar Radio Telescope (SSRT)?,"5.7 GHz Sun imager, like cosmic ears! Tracks plasma, fields."
What is the Owens Valley Solar Array (OVSA)?,"Old flare radio scope, like cosmic relics! Replaced by EOVSA."
What is the Expanded Owens Valley Solar Array (EOVSA)?,"1-18 GHz flare imager, like cosmic spectrometers! Maps fields, electrons."
What is the Atacama Large Millimeter Array (ALMA) solar mode?,"mm-wave Sun maps, like cosmic thermometers! Chromosphere dynamics."
What is the Goode Solar Telescope (GST)?,"1.6m Big Bear scope, like cosmic zooms! 0.1"" magnetic resolution."
What is the Swedish Solar Telescope (SST)?,"1m La Palma scope, like cosmic lenses! 70 km feature maps."
What is the Solar Ultraviolet Imager (SUVI)?,"GOES EUV flare tracker, like cosmic cameras! 6-channel CME views."
What is the Compact Coronagraph (CCOR)?,"NOAAâs 2025 CME scope, like cosmic sentinels! Operational forecasts."
What is the Solar Orbiter SPICE instrument?,"Corona plasma mapper, like cosmic labs! Tracks flows, composition."
What is the Parker Probe FIELDS suite?,"Near-Sun field sensor, like cosmic compasses! Found switchbacks."
What is the Parker Probe SWEAP instrument?,"Wind particle sampler, like cosmic scoops! Measures corona electrons."
What is the Parker Probe ISOIS instrument?,"100 MeV particle detector, like cosmic alarms! Tracks near-Sun SEPs."
What is Solar Orbiter PHI instrument?,"Magnetic, flow imager, like cosmic blueprints! Maps photosphere."
What is Solar Orbiter EUI instrument?,"0.5 AU corona views, like cosmic zooms! High-res EUV images."
What is Solar Orbiter STIX instrument?,"Flare X-ray imager, like cosmic detectors! Maps electron zaps."
What is the Solar Dynamics Observatory AIA instrument?,"7 EUV channels, 12s snaps, like cosmic livestreams! Corona views."
What is the Solar Dynamics Observatory HMI instrument?,"Magnetic, Doppler maps, like cosmic scanners! Tracks photosphere."
What is the Hinode SOT instrument?,"High-res photosphere maps, like cosmic microscopes! Magnetic, G-band."
What is the Hinode XRT instrument?,"5-10 MK flare imager, like cosmic X-rays! Wide temp range."
What is the Hinode EIS instrument?,"EUV velocity, temp maps, like cosmic thermometers! Transition region."
What is the IRIS spectrograph?,"133-141 nm UV spectra, like cosmic lenses! Chromosphere heating."
